"Site","Aspect","cumulative_SR"
"BF","E",767326.287164597
"BF","N",783700.031708068
"BF","S",745836.759885327
"BF","W",755109.992824301
"F","E",690838.414878998
"F","N",777753.846255288
"F","S",691578.947889482
"F","W",759752.826152408
"H","NE",774789.294227408
"H","NW",782037.232476403
"H","SE",761974.545989043
"H","SW",744103.382284597
"KB","NE",731717.493204068
"KB","NW",779146.302778827
"KB","SE",701433.775558508
"KB","SW",756565.466175781
"LSK","NE",758253.050136746
"LSK","NW",757483.487999677
"LSK","SE",738045.61576476
"LSK","SW",738465.240020509
"MBo","NE",756038.535730171
"MBo","NW",752844.116956766
"MBo","SE",748786.25811875
"MBo","SW",743150.234245713
"MBu","NE",759393.67507715
"MBu","NW",772126.832373212
"MBu","SE",724496.013825942
"MBu","SW",737490.057742193
"MF","NE",757431.040109991
"MF","NW",759802.064909864
"MF","SE",741372.606569822
"MF","SW",742905.659216791
"MH","E",763595.686540772
"MH","N",781922.19712724
"MH","S",753271.785591138
"MH","W",767800.785263957
"MHW","NE",771701.478305026
"MHW","NW",775347.900365736
"MHW","SE",734641.118107717
"MHW","SW",722945.661306138
"MM","NE",774264.328499394
"MM","NW",777132.149711709
"MM","SE",761869.925318456
"MM","SW",732224.444604697
"MSp","NE",762147.77968955
"MSp","NW",778937.736123906
"MSp","SE",652904.81843705
"MSp","SW",702690.953552965
"MSt","NE",745777.541027152
"MSt","NW",781425.091151039
"MSt","SE",655969.002684684
"MSt","SW",749133.078618061
"TT","NE",778325.140738155
"TT","NW",772265.038251305
"TT","SE",739335.530529326
"TT","SW",726521.557002052
