"Code","Year","Site","Lat","Long","Elevation","Quadrat","Aspect","Degree.easting","Degree.northing","Average.slope","species_richness","hill_1","hill_2"
"2022_BF_E_BF16",2022,"BF",-37.23468301,146.48998,1710,"BF16","E",1,-3.67e-06,7.476557779,11,6.36574435911941,0.223773833004602
"2022_BF_E_BF17",2022,"BF",-37.23468301,146.48998,1710,"BF17","E",1,-3.67e-06,7.476557779,10,4.00564136318602,0.36744373488747
"2022_BF_E_BF18",2022,"BF",-37.23468301,146.48998,1710,"BF18","E",1,-3.67e-06,7.476557779,14,6.32908860887476,0.271167955581995
"2022_BF_E_BF19",2022,"BF",-37.23468301,146.48998,1710,"BF19","E",1,-3.67e-06,7.476557779,10,4.08687492987967,0.377044677734375
"2022_BF_E_BF20",2022,"BF",-37.23468301,146.48998,1710,"BF20","E",1,-3.67e-06,7.476557779,13,8.90619508318074,0.147944101048105
"2022_BF_N_BF1",2022,"BF",-37.23468301,146.48998,1710,"BF1","N",0,1,9.73247708,3,1.28095295265754,0.885229388602302
"2022_BF_N_BF2",2022,"BF",-37.23468301,146.48998,1710,"BF2","N",0,1,9.73247708,7,4.36438081934481,0.266812140448324
"2022_BF_N_BF3",2022,"BF",-37.23468301,146.48998,1710,"BF3","N",0,1,9.73247708,8,3.28191634537436,0.417684904844291
"2022_BF_N_BF4",2022,"BF",-37.23468301,146.48998,1710,"BF4","N",0,1,9.73247708,9,4.48870760479415,0.290488713565637
"2022_BF_N_BF5",2022,"BF",-37.23468301,146.48998,1710,"BF5","N",0,1,9.73247708,5,2.75253355431242,0.454774387033264
"2022_BF_S_BF11",2022,"BF",-37.23468301,146.48998,1710,"BF11","S",-7.35e-06,-1,11.45845131,11,6.17868667227894,0.221495574052054
"2022_BF_S_BF12",2022,"BF",-37.23468301,146.48998,1710,"BF12","S",-7.35e-06,-1,11.45845131,9,3.60582605486777,0.43292157426027
"2022_BF_S_BF13",2022,"BF",-37.23468301,146.48998,1710,"BF13","S",-7.35e-06,-1,11.45845131,12,5.80949018655242,0.225084791446733
"2022_BF_S_BF14",2022,"BF",-37.23468301,146.48998,1710,"BF14","S",-7.35e-06,-1,11.45845131,7,4.50998834790398,0.256950043297799
"2022_BF_S_BF15",2022,"BF",-37.23468301,146.48998,1710,"BF15","S",-7.35e-06,-1,11.45845131,11,5.93776242738581,0.237192836318201
"2022_BF_W_BF10",2022,"BF",-37.23468301,146.48998,1710,"BF10","W",-1,1.1e-05,13.71437061,9,4.43843962699983,0.298539751216874
"2022_BF_W_BF6",2022,"BF",-37.23468301,146.48998,1710,"BF6","W",-1,1.1e-05,13.71437061,5,3.05593276255848,0.389462442150231
"2022_BF_W_BF7",2022,"BF",-37.23468301,146.48998,1710,"BF7","W",-1,1.1e-05,13.71437061,12,6.27465074640054,0.215533005844598
"2022_BF_W_BF8",2022,"BF",-37.23468301,146.48998,1710,"BF8","W",-1,1.1e-05,13.71437061,12,5.9188465542347,0.221470220741358
"2022_BF_W_BF9",2022,"BF",-37.23468301,146.48998,1710,"BF9","W",-1,1.1e-05,13.71437061,12,5.72346969786926,0.258897507102046
"2022_F_E_F11",2022,"F",-36.89413201,147.139063,1850,"F11","E",1,-3.67e-06,18.50392435,9,6.16674915227516,0.215976331360947
"2022_F_E_F12",2022,"F",-36.89413201,147.139063,1850,"F12","E",1,-3.67e-06,18.50392435,8,5.41788039557319,0.251417769376181
"2022_F_E_F13",2022,"F",-36.89413201,147.139063,1850,"F13","E",1,-3.67e-06,18.50392435,11,8.30707170650354,0.144713421146315
"2022_F_E_F14",2022,"F",-36.89413201,147.139063,1850,"F14","E",1,-3.67e-06,18.50392435,13,10.9144185531971,0.102520319650297
"2022_F_E_F15",2022,"F",-36.89413201,147.139063,1850,"F15","E",1,-3.67e-06,18.50392435,13,8.25283302678733,0.1968
"2022_F_N_F10",2022,"F",-36.89413201,147.139063,1850,"F10","N",0,1,15.69513405,11,7.62623342030496,0.166306228373702
"2022_F_N_F6",2022,"F",-36.89413201,147.139063,1850,"F6","N",0,1,15.69513405,14,9.29348784869913,0.134627610152086
"2022_F_N_F7",2022,"F",-36.89413201,147.139063,1850,"F7","N",0,1,15.69513405,10,7.14705834457016,0.169143876337693
"2022_F_N_F8",2022,"F",-36.89413201,147.139063,1850,"F8","N",0,1,15.69513405,10,4.22086117079562,0.393250688705234
"2022_F_N_F9",2022,"F",-36.89413201,147.139063,1850,"F9","N",0,1,15.69513405,10,7.49177606200147,0.174515235457064
"2022_F_S_F16",2022,"F",-36.89413201,147.139063,1850,"F16","S",-7.35e-06,-1,18.0216822,16,11.2824343954842,0.110577655845146
"2022_F_S_F17",2022,"F",-36.89413201,147.139063,1850,"F17","S",-7.35e-06,-1,18.0216822,16,10.8308206269829,0.121714059585053
"2022_F_S_F18",2022,"F",-36.89413201,147.139063,1850,"F18","S",-7.35e-06,-1,18.0216822,11,9.18531414987958,0.125692520775623
"2022_F_S_F19",2022,"F",-36.89413201,147.139063,1850,"F19","S",-7.35e-06,-1,18.0216822,13,9.72243179885286,0.130102040816327
"2022_F_S_F20",2022,"F",-36.89413201,147.139063,1850,"F20","S",-7.35e-06,-1,18.0216822,12,7.81841683903905,0.177143929442672
"2022_F_W_F1",2022,"F",-36.89413201,147.139063,1850,"F1","W",-1,1.1e-05,15.2128919,14,9.57332974730042,0.126327335527083
"2022_F_W_F2",2022,"F",-36.89413201,147.139063,1850,"F2","W",-1,1.1e-05,15.2128919,13,9.25710250565913,0.138074276148552
"2022_F_W_F3",2022,"F",-36.89413201,147.139063,1850,"F3","W",-1,1.1e-05,15.2128919,17,12.6591719306679,0.0897073994717092
"2022_F_W_F4",2022,"F",-36.89413201,147.139063,1850,"F4","W",-1,1.1e-05,15.2128919,15,7.85841207370109,0.186591052299937
"2022_F_W_F5",2022,"F",-36.89413201,147.139063,1850,"F5","W",-1,1.1e-05,15.2128919,16,12.2972206780715,0.0977741955483911
"2022_H_NE_H16",2022,"H",-36.97450601,147.132274,1900,"H16","NE",0.70710808,0.707105483,5.710593137,12,6.05866636700433,0.210292837301862
"2022_H_NE_H17",2022,"H",-36.97450601,147.132274,1900,"H17","NE",0.70710808,0.707105483,5.710593137,18,12.9503655630345,0.0960076673937471
"2022_H_NE_H18",2022,"H",-36.97450601,147.132274,1900,"H18","NE",0.70710808,0.707105483,5.710593137,9,2.27150185056192,0.646952479338843
"2022_H_NE_H19",2022,"H",-36.97450601,147.132274,1900,"H19","NE",0.70710808,0.707105483,5.710593137,17,9.03633052200908,0.164395169832639
"2022_H_NE_H20",2022,"H",-36.97450601,147.132274,1900,"H20","NE",0.70710808,0.707105483,5.710593137,11,5.37680340790287,0.252736388673116
"2022_H_NW_H1",2022,"H",-36.97450601,147.132274,1900,"H1","NW",-0.70709769,0.707115872,5.710593137,13,4.31816705437969,0.358656
"2022_H_NW_H2",2022,"H",-36.97450601,147.132274,1900,"H2","NW",-0.70709769,0.707115872,5.710593137,8,2.88082139857245,0.495098501272505
"2022_H_NW_H3",2022,"H",-36.97450601,147.132274,1900,"H3","NW",-0.70709769,0.707115872,5.710593137,17,8.4588529741579,0.146202751403839
"2022_H_NW_H4",2022,"H",-36.97450601,147.132274,1900,"H4","NW",-0.70709769,0.707115872,5.710593137,13,5.2865985536884,0.311609762494058
"2022_H_NW_H5",2022,"H",-36.97450601,147.132274,1900,"H5","NW",-0.70709769,0.707115872,5.710593137,19,9.50926235599081,0.160184346528851
"2022_H_SE_H11",2022,"H",-36.97450601,147.132274,1900,"H11","SE",0.707102885,-0.707110677,5.710593137,13,5.40446650639488,0.300287618699781
"2022_H_SE_H12",2022,"H",-36.97450601,147.132274,1900,"H12","SE",0.707102885,-0.707110677,5.710593137,11,4.69346686283644,0.330090679522498
"2022_H_SE_H13",2022,"H",-36.97450601,147.132274,1900,"H13","SE",0.707102885,-0.707110677,5.710593137,12,5.86392775515667,0.221351456815817
"2022_H_SE_H14",2022,"H",-36.97450601,147.132274,1900,"H14","SE",0.707102885,-0.707110677,5.710593137,9,4.72902226199463,0.344
"2022_H_SE_H15",2022,"H",-36.97450601,147.132274,1900,"H15","SE",0.707102885,-0.707110677,5.710593137,10,5.06240971820345,0.254736544443397
"2022_H_SW_H10",2022,"H",-36.97450601,147.132274,1900,"H10","SW",-0.707113275,-0.707100288,5.710593137,13,6.84134737070664,0.195943300180124
"2022_H_SW_H6",2022,"H",-36.97450601,147.132274,1900,"H6","SW",-0.707113275,-0.707100288,5.710593137,8,4.71610736758359,0.28133608815427
"2022_H_SW_H7",2022,"H",-36.97450601,147.132274,1900,"H7","SW",-0.707113275,-0.707100288,5.710593137,5,3.46439269495225,0.324100150457158
"2022_H_SW_H8",2022,"H",-36.97450601,147.132274,1900,"H8","SW",-0.707113275,-0.707100288,5.710593137,6,2.48846821016585,0.547885723561399
"2022_H_SW_H9",2022,"H",-36.97450601,147.132274,1900,"H9","SW",-0.707113275,-0.707100288,5.710593137,13,6.49934516839288,0.198390358833219
"2022_KB_NE_KB10",2022,"KB",-37.20246601,146.600757,1690,"KB10","NE",0.70710808,0.707105483,10.22707799,7,2.49467819391354,0.584229390681004
"2022_KB_NE_KB6",2022,"KB",-37.20246601,146.600757,1690,"KB6","NE",0.70710808,0.707105483,10.22707799,8,5.22366140662975,0.231374216176002
"2022_KB_NE_KB7",2022,"KB",-37.20246601,146.600757,1690,"KB7","NE",0.70710808,0.707105483,10.22707799,9,6.54746594725296,0.187282986111111
"2022_KB_NE_KB8",2022,"KB",-37.20246601,146.600757,1690,"KB8","NE",0.70710808,0.707105483,10.22707799,12,6.8050723701496,0.251512993948024
"2022_KB_NE_KB9",2022,"KB",-37.20246601,146.600757,1690,"KB9","NE",0.70710808,0.707105483,10.22707799,11,7.29018614960099,0.169950042416816
"2022_KB_NW_KB1",2022,"KB",-37.20246601,146.600757,1690,"KB1","NW",-0.70709769,0.707115872,7.163120661,7,5.77780874819592,0.193415637860082
"2022_KB_NW_KB2",2022,"KB",-37.20246601,146.600757,1690,"KB2","NW",-0.70709769,0.707115872,7.163120661,12,8.27360863415221,0.153284671532847
"2022_KB_NW_KB3",2022,"KB",-37.20246601,146.600757,1690,"KB3","NW",-0.70709769,0.707115872,7.163120661,13,7.87669697408178,0.177966101694915
"2022_KB_NW_KB4",2022,"KB",-37.20246601,146.600757,1690,"KB4","NW",-0.70709769,0.707115872,7.163120661,9,6.2757208468778,0.181537221177103
"2022_KB_NW_KB5",2022,"KB",-37.20246601,146.600757,1690,"KB5","NW",-0.70709769,0.707115872,7.163120661,10,3.78307324216517,0.399238227146814
"2022_KB_SE_KB11",2022,"KB",-37.20246601,146.600757,1690,"KB11","SE",0.707102885,-0.707110677,10.68803873,9,4.61483226014404,0.340891912320484
"2022_KB_SE_KB12",2022,"KB",-37.20246601,146.600757,1690,"KB12","SE",0.707102885,-0.707110677,10.68803873,11,8.98225338118768,0.134349030470914
"2022_KB_SE_KB13",2022,"KB",-37.20246601,146.600757,1690,"KB13","SE",0.707102885,-0.707110677,10.68803873,10,5.98208861407146,0.242438563327032
"2022_KB_SE_KB14",2022,"KB",-37.20246601,146.600757,1690,"KB14","SE",0.707102885,-0.707110677,10.68803873,12,8.29822499769109,0.151626275510204
"2022_KB_SE_KB15",2022,"KB",-37.20246601,146.600757,1690,"KB15","SE",0.707102885,-0.707110677,10.68803873,8,5.401763476267,0.211505190311419
"2022_KB_SW_KB16",2022,"KB",-37.20246601,146.600757,1690,"KB16","SW",-0.707113275,-0.707100288,7.6240814,11,5.41649582451058,0.254944869960441
"2022_KB_SW_KB17",2022,"KB",-37.20246601,146.600757,1690,"KB17","SW",-0.707113275,-0.707100288,7.6240814,10,5.91836082476395,0.254591095256969
"2022_KB_SW_KB18",2022,"KB",-37.20246601,146.600757,1690,"KB18","SW",-0.707113275,-0.707100288,7.6240814,11,7.82469228553861,0.171789278868398
"2022_KB_SW_KB19",2022,"KB",-37.20246601,146.600757,1690,"KB19","SW",-0.707113275,-0.707100288,7.6240814,8,4.11373646939783,0.346212995001922
"2022_KB_SW_KB20",2022,"KB",-37.20246601,146.600757,1690,"KB20","SW",-0.707113275,-0.707100288,7.6240814,11,7.36914613656307,0.177457466918715
