Code,Year,Site,lat,lon,Plot.size..m2.,ele,Aspect,Degree.easting,Degree.northing,Average.slope,avg.SR,Quadrat,Species,Origin,Growth_form,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Evergreen,Deciduous,Cover
2022_BF_N_BF1,2022,BF,-37.241018,146.483143,1742,1688.912842,N,0,1,9.73247708,484289.3818,BF1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_N_BF2,2022,BF,-37.241018,146.483143,1742,1688.912842,N,0,1,9.73247708,484289.3818,BF2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_N_BF3,2022,BF,-37.241018,146.483143,1742,1688.912842,N,0,1,9.73247708,484289.3818,BF3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_N_BF4,2022,BF,-37.241018,146.483143,1742,1688.912842,N,0,1,9.73247708,484289.3818,BF4,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_N_BF5,2022,BF,-37.241018,146.483143,1742,1688.912842,N,0,1,9.73247708,484289.3818,BF5,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_W_BF6,2022,BF,-37.241018,146.483143,1742,1688.912842,W,-1,1.10E-05,13.71437061,472350.5554,BF6,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_W_BF7,2022,BF,-37.241018,146.483143,1742,1688.912842,W,-1,1.10E-05,13.71437061,472350.5554,BF7,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_W_BF8,2022,BF,-37.241018,146.483143,1742,1688.912842,W,-1,1.10E-05,13.71437061,472350.5554,BF8,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_W_BF9,2022,BF,-37.241018,146.483143,1742,1688.912842,W,-1,1.10E-05,13.71437061,472350.5554,BF9,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_W_BF10,2022,BF,-37.241018,146.483143,1742,1688.912842,W,-1,1.10E-05,13.71437061,472350.5554,BF10,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_S_BF11,2022,BF,-37.241018,146.483143,1742,1688.912842,S,-7.35E-06,-1,11.45845131,460774.8619,BF11,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_S_BF12,2022,BF,-37.241018,146.483143,1742,1688.912842,S,-7.35E-06,-1,11.45845131,460774.8619,BF12,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_S_BF13,2022,BF,-37.241018,146.483143,1742,1688.912842,S,-7.35E-06,-1,11.45845131,460774.8619,BF13,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_S_BF14,2022,BF,-37.241018,146.483143,1742,1688.912842,S,-7.35E-06,-1,11.45845131,460774.8619,BF14,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_S_BF15,2022,BF,-37.241018,146.483143,1742,1688.912842,S,-7.35E-06,-1,11.45845131,460774.8619,BF15,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_E_BF16,2022,BF,-37.241018,146.483143,1742,1688.912842,E,1,-3.67E-06,7.476557779,470810.5695,BF16,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_E_BF17,2022,BF,-37.241018,146.483143,1742,1688.912842,E,1,-3.67E-06,7.476557779,470810.5695,BF17,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_E_BF18,2022,BF,-37.241018,146.483143,1742,1688.912842,E,1,-3.67E-06,7.476557779,470810.5695,BF18,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_E_BF19,2022,BF,-37.241018,146.483143,1742,1688.912842,E,1,-3.67E-06,7.476557779,470810.5695,BF19,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_BF_E_BF20,2022,BF,-37.241018,146.483143,1742,1688.912842,E,1,-3.67E-06,7.476557779,470810.5695,BF20,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NW_H1,2022,H,-36.97474304,147.130572,5000,1867.303833,NW,-0.70709769,0.707115872,5.710593137,485516.5127,H1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NW_H2,2022,H,-36.97474304,147.130572,5000,1867.303833,NW,-0.70709769,0.707115872,5.710593137,485516.5127,H2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NW_H3,2022,H,-36.97474304,147.130572,5000,1867.303833,NW,-0.70709769,0.707115872,5.710593137,485516.5127,H3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NW_H4,2022,H,-36.97474304,147.130572,5000,1867.303833,NW,-0.70709769,0.707115872,5.710593137,485516.5127,H4,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NW_H5,2022,H,-36.97474304,147.130572,5000,1867.303833,NW,-0.70709769,0.707115872,5.710593137,485516.5127,H5,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SW_H6,2022,H,-36.97474304,147.130572,5000,1867.303833,SW,-0.707113275,-0.707100288,5.710593137,458879.2127,H6,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SW_H7,2022,H,-36.97474304,147.130572,5000,1867.303833,SW,-0.707113275,-0.707100288,5.710593137,458879.2127,H7,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SW_H8,2022,H,-36.97474304,147.130572,5000,1867.303833,SW,-0.707113275,-0.707100288,5.710593137,458879.2127,H8,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SW_H9,2022,H,-36.97474304,147.130572,5000,1867.303833,SW,-0.707113275,-0.707100288,5.710593137,458879.2127,H9,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SW_H10,2022,H,-36.97474304,147.130572,5000,1867.303833,SW,-0.707113275,-0.707100288,5.710593137,458879.2127,H10,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SE_H11,2022,H,-36.97474304,147.130572,5000,1867.303833,SE,0.707102885,-0.707110677,5.710593137,469244.445,H11,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SE_H12,2022,H,-36.97474304,147.130572,5000,1867.303833,SE,0.707102885,-0.707110677,5.710593137,469244.445,H12,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SE_H13,2022,H,-36.97474304,147.130572,5000,1867.303833,SE,0.707102885,-0.707110677,5.710593137,469244.445,H13,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SE_H14,2022,H,-36.97474304,147.130572,5000,1867.303833,SE,0.707102885,-0.707110677,5.710593137,469244.445,H14,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_SE_H15,2022,H,-36.97474304,147.130572,5000,1867.303833,SE,0.707102885,-0.707110677,5.710593137,469244.445,H15,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NE_H16,2022,H,-36.97474304,147.130572,5000,1867.303833,NE,0.70710808,0.707105483,5.710593137,476857.9926,H16,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NE_H17,2022,H,-36.97474304,147.130572,5000,1867.303833,NE,0.70710808,0.707105483,5.710593137,476857.9926,H17,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NE_H18,2022,H,-36.97474304,147.130572,5000,1867.303833,NE,0.70710808,0.707105483,5.710593137,476857.9926,H18,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NE_H19,2022,H,-36.97474304,147.130572,5000,1867.303833,NE,0.70710808,0.707105483,5.710593137,476857.9926,H19,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_H_NE_H20,2022,H,-36.97474304,147.130572,5000,1867.303833,NE,0.70710808,0.707105483,5.710593137,476857.9926,H20,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NW_KB1,2022,KB,-37.21138604,146.605201,2418,1705.766479,NW,-0.70709769,0.707115872,7.163120661,482760.837,KB1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NW_KB2,2022,KB,-37.21138604,146.605201,2418,1705.766479,NW,-0.70709769,0.707115872,7.163120661,482760.837,KB2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NW_KB3,2022,KB,-37.21138604,146.605201,2418,1705.766479,NW,-0.70709769,0.707115872,7.163120661,482760.837,KB3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NW_KB4,2022,KB,-37.21138604,146.605201,2418,1705.766479,NW,-0.70709769,0.707115872,7.163120661,482760.837,KB4,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NW_KB5,2022,KB,-37.21138604,146.605201,2418,1705.766479,NW,-0.70709769,0.707115872,7.163120661,482760.837,KB5,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NE_KB6,2022,KB,-37.21138604,146.605201,2418,1705.766479,NE,0.70710808,0.707105483,10.22707799,444419.1736,KB6,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_KB_NE_KB7,2022,KB,-37.21138604,146.605201,2418,1705.766479,NE,0.70710808,0.707105483,10.22707799,444419.1736,KB7,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
