Site,Aspect,Lat,Long,Degree,Elevation,Slope
BF,N,-37.24069200,146.48321300,0,1689,9.73247708
BF,W,-37.24083800,146.48281500,270,1689,13.71437061
BF,S,-37.24116100,146.48307100,180,1689,11.45845131
BF,E,-37.24110500,146.48337400,90,1689,7.476557779
H,NW,-36.97431000,147.13005000,315,1867,5.710593137
H,SW,-36.97506600,147.13025000,225,1867,5.710593137
H,SE,-36.97505900,147.13100600,135,1867,5.710593137
H,NE,-36.97438700,147.13093400,45,1867,5.710593137
KB,NW,-37.21115000,146.60495700,315,1706,7.163120661
KB,SW,-37.21155200,146.60502100,225,1706,7.6240814
KB,SE,-37.21163500,146.60553600,135,1706,10.68803873
KB,NE,-37.21101600,146.60549200,45,1706,10.22707799
MBo,NW,-36.73818600,147.28793200,315,1982,5.710593137
MBo,SW,-36.73898800,147.28812200,225,1982,5.710593137
MBo,SE,-36.73890900,147.28886600,135,1982,5.710593137
MBo,NE,-36.73805000,147.28891400,45,1982,5.710593137
MBu,NW,-37.14324300,146.42146300,315,1761,15.56655159
MBu,SW,-37.14356000,146.42160500,225,1761,15.95682567
MBu,SE,-37.14342600,146.42188200,135,1761,16.43906782
MBu,NE,-37.14323500,146.42173900,45,1761,16.04879374
MM,NW,-37.18901600,146.62045200,315,1729,12.81454495
MM,SW,-37.18956200,146.62047900,225,1729,10.8049878
MM,SE,-37.18960100,146.62098500,135,1729,8.217520837
MM,NE,-37.18916000,146.62101200,45,1729,10.22707799
MSp,NW,-37.12546000,146.64213500,315,1641,8.538814562
MSp,SW,-37.12574400,146.64218200,225,1641,13.30339076
MSp,SE,-37.12574600,146.64262600,135,1641,19.10202799
MSp,NE,-37.12553400,146.64258300,45,1641,14.33745179
MSt,NW,-37.12873600,146.49869300,315,1725,9.873418303
MSt,SW,-37.12922800,146.49876200,225,1725,13.1505086
MSt,SE,-37.12920600,146.49936800,135,1725,16.65114238
MSt,NE,-37.12885700,146.49928600,45,1725,13.37405208
F,N,-36.89076100,147.14045700,0,1793,15.69513405
F,W,-36.89112200,147.14016600,270,1793,15.2128919
F,S,-36.89145000,147.14039100,180,1793,18.0216822
F,E,-36.89116900,147.14079000,90,1793,18.50392435
LSK,NW,-36.82606200,147.28118000,315,1797,12.15794473
LSK,SW,-36.82657200,147.28123200,225,1797,9.254285043
LSK,SE,-36.82664900,147.28186000,135,1797,9.97689961
LSK,NE,-36.82602100,147.28177200,45,1797,12.88055929
MF,NW,-36.82902000,147.32078900,315,1811,5.710593137
MF,SW,-36.82952100,147.32103600,225,1811,5.710593137
MF,SE,-36.82926300,147.32161500,135,1811,5.710593137
MF,NE,-36.82890400,147.32160800,45,1811,5.710593137
MH,N,-37.17404000,146.64776000,0,1742,14.66023794
MH,W,-37.17426400,146.64758300,270,1742,12.07277098
MH,S,-37.17442400,146.64779700,180,1742,6.80887792
MH,E,-37.17421700,146.64800500,90,1742,9.396344879
MHW,NW,-37.17552900,146.64124800,315,1689,15.69513405
MHW,SW,-37.17594600,146.64132500,225,1689,13.42025477
MHW,SE,-37.17586700,146.64170300,135,1689,10.98330656
MHW,NE,-37.17550200,146.64153100,45,1689,13.25818584
TT,NW,-37.02294000,147.05693900,315,1574,11.67156222
TT,SW,-37.02321200,147.05714000,225,1574,7.830609913
TT,SE,-37.02306500,147.05737600,135,1574,6.920347746
TT,NE,-37.02277900,147.05727000,45,1574,10.76130005
