Code,Year,Site,lat,lon,ele,Plot.size..m2.,Aspect,Quadrat,Species,Cover,Origin,Growth_form,Shrub,Forb,Graminoid,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Strategy,Evergreen,Deciduous,avg.SR
2022_BF_W_BF8,2022,BF,-37.241018,146.483143,1688.912842,1742,W,BF8,Brachyscome.rigidula,0.5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,472350.5554
2022_BF_W_BF9,2022,BF,-37.241018,146.483143,1688.912842,1742,W,BF9,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,472350.5554
2022_BF_S_BF15,2022,BF,-37.241018,146.483143,1688.912842,1742,S,BF15,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,460774.8619
2022_KB_NW_KB3,2022,KB,-37.21138604,146.605201,1705.766479,2418,NW,KB3,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,482760.837
2022_KB_NW_KB5,2022,KB,-37.21138604,146.605201,1705.766479,2418,NW,KB5,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,482760.837
2022_KB_NE_KB6,2022,KB,-37.21138604,146.605201,1705.766479,2418,NE,KB6,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,444419.1736
2022_KB_NE_KB8,2022,KB,-37.21138604,146.605201,1705.766479,2418,NE,KB8,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,444419.1736
2022_KB_SE_KB11,2022,KB,-37.21138604,146.605201,1705.766479,2418,SE,KB11,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,425123.8565
2022_KB_SE_KB12,2022,KB,-37.21138604,146.605201,1705.766479,2418,SE,KB12,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,425123.8565
2022_KB_SE_KB14,2022,KB,-37.21138604,146.605201,1705.766479,2418,SE,KB14,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,425123.8565
2022_KB_SW_KB17,2022,KB,-37.21138604,146.605201,1705.766479,2418,SW,KB17,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,469324.3856
2022_KB_SW_KB18,2022,KB,-37.21138604,146.605201,1705.766479,2418,SW,KB18,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,469324.3856
2022_MBu_SW_MBu1,2022,MBu,-37.14356697,146.421798,1760.844482,612,SW,MBu1,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,460900.0893
2022_MBu_NW_MBu6,2022,MBu,-37.14356697,146.421798,1760.844482,612,NW,MBu6,Brachyscome.rigidula,10,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,482240.6922
2022_MBu_SE_MBu16,2022,MBu,-37.14356697,146.421798,1760.844482,612,SE,MBu16,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,441202.4912
2022_MM_SW_MM1,2022,MM,-37.18933803,146.620695,1728.878052,1710,SW,MM1,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,453403.9612
2022_MM_NW_MM7,2022,MM,-37.18933803,146.620695,1728.878052,1710,NW,MM7,Brachyscome.rigidula,20,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,485290.3774
2022_MM_NW_MM9,2022,MM,-37.18933803,146.620695,1728.878052,1710,NW,MM9,Brachyscome.rigidula,10,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,485290.3774
2022_MM_NE_MM11,2022,MM,-37.18933803,146.620695,1728.878052,1710,NE,MM11,Brachyscome.rigidula,10,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,474591.8001
2022_MM_NE_MM14,2022,MM,-37.18933803,146.620695,1728.878052,1710,NE,MM14,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,474591.8001
2022_MSt_NW_MSt6,2022,MSt,-37.129005,146.499058,1725,1260,NW,MSt6,Brachyscome.rigidula,10,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,486082.4755
2022_MSt_SE_MSt13,2022,MSt,-37.129005,146.499058,1725,1260,SE,MSt13,Brachyscome.rigidula,15,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,393523.9032
2022_MSt_SE_MSt14,2022,MSt,-37.129005,146.499058,1725,1260,SE,MSt14,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,393523.9032
2022_F_W_F5,2022,F,-36.891139,147.140444,1793.384521,561,W,F5,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,477288.5262
2022_F_N_F6,2022,F,-36.891139,147.140444,1793.384521,561,N,F6,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,481230.2503
2022_F_N_F7,2022,F,-36.891139,147.140444,1793.384521,561,N,F7,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,481230.2503
2022_F_N_F9,2022,F,-36.891139,147.140444,1793.384521,561,N,F9,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,481230.2503
2022_F_E_F11,2022,F,-36.891139,147.140444,1793.384521,561,E,F11,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,414123.1329
2022_F_E_F12,2022,F,-36.891139,147.140444,1793.384521,561,E,F12,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,414123.1329
2022_F_E_F14,2022,F,-36.891139,147.140444,1793.384521,561,E,F14,Brachyscome.rigidula,1,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,414123.1329
2022_F_S_F17,2022,F,-36.891139,147.140444,1793.384521,561,S,F17,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,423994.0935
2022_F_S_F18,2022,F,-36.891139,147.140444,1793.384521,561,S,F18,Brachyscome.rigidula,10,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,423994.0935
2022_F_S_F19,2022,F,-36.891139,147.140444,1793.384521,561,S,F19,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,423994.0935
2022_LSK_NW_LSK1,2022,LSK,-36.82634,147.2815,1797,1444,NW,LSK1,Brachyscome.rigidula,5,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1,471437.0468
