Species,Origin,Growth_form,Shrub,Forb,Graminoid,Mean_SLA_mm2/mg-1,Mean_LDMC_mg/g-1,Mean_seed_mass_mg,Max_height_m,Strategy,Evergreen,Deciduous
Acaena.novae.zelandiae,Native,Forb,0,1,0,13.12075909,341.3718802,1.70625,0.473,Evergreen,1,0
Acetosella.vulgaris,Exotic,Forb,0,1,0,19.5518227,124.0320256,0.4732,0.2,Deciduous,0,1
Aciphylla.glacialis,Endemic,Forb,0,1,0,6.746350634,357.2224242,5.148,0.6,Evergreen,1,0
Acrothamnus.montanus,Endemic,Shrub,1,0,0,8.040816327,525,12.201,0.5,Evergreen,1,0
Agrostis.sp.,NA,Graminoid,0,0,1,NA,NA,NA,NA,NA,NA,NA
Agrostis.venusta,Endemic,Graminoid,0,0,1,4.5,479.1666667,0.1266383,0.3,Deciduous,0,1
Ajuga.australis,Native,Forb,0,1,0,13.73486588,173.548331,2.4,0.5,Deciduous,0,1
Anthosachne.scabra,Native,Graminoid,0,0,1,9.659173449,392.4477829,8.541666667,1.2,Deciduous,0,1
Argyrotegium.fordianum,Endemic,Forb,0,1,0,14.54368123,329.0509647,0.0871319,0.03,Deciduous,0,1
Arthropodium.milleflorum,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1
Asperula.gunnii,Endemic,Forb,0,1,0,9.098501543,251.9455556,4.234117647,0.2,Deciduous,0,1
Asperula.scoparia,Native,Forb,0,1,0,22.53,100,NA,0.15,Deciduous,0,1
Asterolasia.trymalioides.subsp..trymalioides,Endemic,Shrub,1,0,0,5.223714904,455.7483514,2.371666667,0.5,Evergreen,1,0
Austrostipa.nivicola,Endemic,Graminoid,0,0,1,14.92896081,391.9415569,11.43222222,0.8,Evergreen,1,0
Baeckea.gunniana,Endemic,Shrub,1,0,0,NA,NA,NA,NA,Evergreen,NA,NA
Bossiaea.foliosa,Endemic,Shrub,1,0,0,8.025959596,412.5,2.8255,1.5,Evergreen,1,0
Bossiaea.sericea,Endemic,Shrub,1,0,0,10.1849057,545.4545455,5.766153846,2,Evergreen,1,0
Brachyscome.nivalis,Endemic,Forb,0,1,0,6.594009202,262.7968358,0.486,0.15,Deciduous,0,1
Brachyscome.rigidula,Endemic,Forb,0,1,0,15.81957616,269.0581141,0.169,0.3,Deciduous,0,1
Brachyscome.spathulata,Endemic,Forb,0,1,0,13.30369071,147.6647428,0.239,0.3,Deciduous,0,1
Bulbine.glauca,Endemic,Forb,0,1,0,5.362352941,78.03422829,4.065454545,0.5,Deciduous,0,1
Cardamine.lilacina,Endemic,Forb,0,1,0,19.39923664,188.4892086,1.004,0.5,Deciduous,0,1
Carex.breviculmis,Native,Graminoid,0,0,1,15.20700594,357.6175558,1.035185,0.1,Evergreen,1,0
Carex.hebes,Endemic,Graminoid,0,0,1,10.7574584,436.5426227,0.65038,0.2,Evergreen,1,0
Celmisia.costiniana,Endemic,Forb,0,1,0,9.655536667,205.4794521,2.641875,0.15,Deciduous,0,1
Celmisia.latifolia,Endemic,Forb,0,1,0,5.885438677,227.1812831,4.2992,0.26,Deciduous,0,1
Celmisia.pugioniformis,Endemic,Forb,0,1,0,4.761131209,387.6454979,2.793375,0.2,Deciduous,0,1
Cerastium.vulgare,Exotic,Forb,0,1,0,21.4466369,133.8645418,NA,0.5,NA,0,0
Chrysocephalum.semipapposum.subsp..lineare,Endemic,Forb,0,1,0,14.628,247.9784367,0.0753,0.6,Deciduous,0,1
Colobanthus.affinis,Endemic,Forb,0,1,0,8.951630571,237.6067357,0.130118182,0.1,Deciduous,0,1
Coronidium.monticola,Endemic,Forb,0,1,0,23.30683453,229.9382716,0.18142,0.35,Deciduous,0,1
Craspedia.adenophora,Endemic,Forb,0,1,0,15.96001228,199.3006993,1.523,0.948,Deciduous,0,1
Craspedia.aurantia,Endemic,Forb,0,1,0,23.73146259,199.3220339,0.4533,0.6,Deciduous,0,1
Craspedia.gracilis,Endemic,Forb,0,1,0,10.6,213.3854846,0.801707317,0.65,Deciduous,0,1
Craspedia.lamicola,Endemic,Forb,0,1,0,20.90438333,112.412178,1.131,0.5,Deciduous,0,1
Craspedia.spp.,Endemic,Forb,0,1,0,11.7375989,219.4466592,0.957876829,0.5375,Deciduous,0,1
Crassula.sieberiana,Native,Forb,0,1,0,30.57142843,81.87134503,0.02415,0.2,NA,0,0
Deyeuxia.carinata,Endemic,Graminoid,0,0,1,12.69200647,327.5618375,0.265,0.265,Evergreen,1,0
Deyeuxia.monticola,Endemic,Graminoid,0,0,1,6.6302521,345.4014599,0.2545,0.9,Deciduous,0,1
Epacris.glacialis,Endemic,Shrub,1,0,0,8.859649123,518.1818182,0.0356,0.3,Evergreen,1,0
Epacris.gunnii,Endemic,Shrub,1,0,0,9.520596431,506.6008967,0.0196,1,Evergreen,1,0
Eucalyptus.pauciflora,Native,Tree,0,0,0,4.249585972,341.4466918,0.689,7,Evergreen,1,0
Euphrasia.collina,Endemic,Forb,0,1,0,9.808647718,233.8729082,0.1883,0.6,Deciduous,0,1
Euphrasia.crassiuscula.subsp..glandulifera,Endemic,Forb,0,1,0,NA,NA,NA,NA,NA,NA,NA
Euphrasia.sp.,Endemic,Forb,0,1,0,NA,NA,NA,NA,NA,NA,NA
Euryomyrtus.ramosissima.subsp..ramosissima,Native,Shrub,1,0,0,11.80689653,496,0.3825,0.6,Evergreen,1,0
Ewartia.nubigena,Endemic,Forb,0,1,0,19.86486486,411.1111111,0.0664,0.5,Evergreen,1,0
Gentianella.muelleriana,Endemic,Forb,0,1,0,20.31958872,181.6864307,0.396,0.25,Deciduous,0,1
Geranium.sp.,Native,Forb,0,1,0,12.89091876,261.0576923,1.519318182,0.11,Deciduous,0,1
Gonocarpus.micranthus.subsp..micranthus,Native,Forb,0,1,0,24.37444444,613.636364,0.1553,0.019,Evergreen,1,0
Gonocarpus.montanus,Endemic,Forb,0,1,0,18.81355932,256.5217391,0.703016,0.15,Evergreen,1,0
